
REPO, SHA, CONFIG_PARAMETER, TEST_NAME, VALUE, TYPE(GOOD|BAD), EXPECTATION(PASS|FAIL)
https://github.com/apache/hadoop.git, a3b9c37a397ad4188041dd80621bdeefc46885f2, org.apache.hadoop.ipc.TestIPC#testUniqueSequentialCallIds, ipc.client.connect.retry.interval, 1000, GOOD, PASS
https://github.com/apache/hadoop.git, a3b9c37a397ad4188041dd80621bdeefc46885f2, org.apache.hadoop.ipc.TestIPC#testUniqueSequentialCallIds, ipc.client.connect.retry.interval, 10000, GOOD, PASS
https://github.com/apache/hadoop.git, a3b9c37a397ad4188041dd80621bdeefc46885f2, org.apache.hadoop.ipc.TestIPC#testUniqueSequentialCallIds, ipc.client.connect.retry.interval, 512, GOOD, PASS
https://github.com/apache/hadoop.git, a3b9c37a397ad4188041dd80621bdeefc46885f2, org.apache.hadoop.ipc.TestIPC#testUniqueSequentialCallIds, ipc.client.connect.retry.interval, -1, BAD, FAIL
https://github.com/apache/hadoop.git, a3b9c37a397ad4188041dd80621bdeefc46885f2, org.apache.hadoop.ipc.TestIPC#testUniqueSequentialCallIds, ipc.server.max.connections, 0, GOOD, PASS
https://github.com/apache/hadoop.git, a3b9c37a397ad4188041dd80621bdeefc46885f2, org.apache.hadoop.ipc.TestIPC#testUniqueSequentialCallIds, ipc.server.max.connections, 300, GOOD, PASS
https://github.com/apache/hadoop.git, a3b9c37a397ad4188041dd80621bdeefc46885f2, org.apache.hadoop.ipc.TestIPC#testUniqueSequentialCallIds, ipc.server.max.connections, 999, GOOD, PASS
https://github.com/apache/hadoop.git, a3b9c37a397ad4188041dd80621bdeefc46885f2, org.apache.hadoop.ipc.TestIPC#testUniqueSequentialCallIds, ipc.server.reuseaddr, true, GOOD, PASS
https://github.com/apache/hadoop.git, a3b9c37a397ad4188041dd80621bdeefc46885f2, org.apache.hadoop.ipc.TestIPC#testUniqueSequentialCallIds, ipc.server.reuseaddr, false, GOOD, PASS
https://github.com/apache/hadoop.git, a3b9c37a397ad4188041dd80621bdeefc46885f2, org.apache.hadoop.ipc.TestIPC#testUniqueSequentialCallIds, ipc.client.low-latency, true, GOOD, PASS
https://github.com/apache/hadoop.git, a3b9c37a397ad4188041dd80621bdeefc46885f2, org.apache.hadoop.ipc.TestIPC#testUniqueSequentialCallIds, ipc.client.low-latency, false, GOOD, PASS
https://github.com/apache/hadoop.git, a3b9c37a397ad4188041dd80621bdeefc46885f2, org.apache.hadoop.ipc.TestIPC#testUniqueSequentialCallIds, ipc.client.fallback-to-simple-auth-allowed, true, GOOD, PASS
https://github.com/apache/hadoop.git, a3b9c37a397ad4188041dd80621bdeefc46885f2, org.apache.hadoop.ipc.TestIPC#testUniqueSequentialCallIds, ipc.client.fallback-to-simple-auth-allowed, false, GOOD, PASS
https://github.com/apache/hadoop.git, a3b9c37a397ad4188041dd80621bdeefc46885f2, org.apache.hadoop.ipc.TestIPC#testUniqueSequentialCallIds, hadoop.kerberos.keytab.login.autorenewal.enabled, true, GOOD, PASS
https://github.com/apache/hadoop.git, a3b9c37a397ad4188041dd80621bdeefc46885f2, org.apache.hadoop.ipc.TestIPC#testUniqueSequentialCallIds, hadoop.kerberos.keytab.login.autorenewal.enabled, true, GOOD, PASS
https://github.com/apache/hadoop.git, a3b9c37a397ad4188041dd80621bdeefc46885f2, org.apache.hadoop.ipc.TestIPC#testUniqueSequentialCallIds, ipc.maximum.response.length, 134217728, GOOD, PASS
